gap_width,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
4.5,1,0,RRT*,1,6.337508201599121,285,288,122.88226079782997
4.5,0,9,GoalBias,1,16.476346969604492,844,490,160.04825696905888
4.5,1,0,GoalBias,1,9.035120964050293,569,358,216.46784531821814
4.5,1,0,Hybrid,1,9.6929190158844,290,269,135.44014978559545
4.5,1,1,Hybrid,1,2.5384650230407715,97,138,133.88514797043223
4.5,1,2,RRT*,1,7.967804908752441,427,357,159.3097091182483
4.5,1,1,RRT*,1,14.810924053192139,667,528,180.62521810425187
4.5,1,1,GoalBias,1,11.384886026382446,651,392,156.69274179602834
4.5,1,2,Hybrid,1,2.220391273498535,88,103,132.5059535470146
4.5,1,2,GoalBias,1,9.777117013931274,476,339,139.77652261695508
4.5,1,3,RRT*,1,8.440793991088867,322,351,98.04101084395003
4.5,1,3,GoalBias,1,9.237948894500732,582,345,189.44094286469496
4.5,1,4,GoalBias,1,2.5328972339630127,89,148,117.05146129984627
4.5,1,4,Hybrid,1,2.2323338985443115,118,144,138.03955740766438
4.5,1,3,Hybrid,1,11.094208002090454,487,313,200.00031648585235
4.5,1,4,RRT*,1,14.0814049243927,507,557,135.26137666610072
4.5,1,6,RRT*,1,4.158293962478638,128,202,139.4609741803086
4.5,1,5,GoalBias,1,9.410494089126587,442,353,197.03673769265995
4.5,1,6,GoalBias,1,2.8585939407348633,110,154,143.5731223897454
4.5,1,6,Hybrid,1,7.010364294052124,368,260,184.06068013784463
4.5,1,7,GoalBias,1,2.1766679286956787,47,133,123.92465994826769
4.5,1,7,RRT*,1,14.936326265335083,504,502,243.36903237689472
4.5,1,7,Hybrid,1,9.005216121673584,370,268,194.01250262888811
4.5,1,5,RRT*,1,28.58098602294922,1253,857,252.8763624602195
4.5,1,8,Hybrid,1,2.519972085952759,129,138,161.79684694172693
4.5,1,8,GoalBias,1,4.786922931671143,256,204,150.1463013895125
4.5,1,5,Hybrid,1,33.99357795715332,719,521,145.90577379159325
4.5,1,8,RRT*,1,8.721370220184326,318,292,175.89576890511228
4.5,1,9,RRT*,1,11.017704010009766,468,412,154.38475147108224
4.5,2,0,RRT*,1,6.665218114852905,296,301,148.98368157167192
4.5,2,0,GoalBias,1,2.4612679481506348,73,123,122.38320865031206
4.5,2,0,Hybrid,1,2.815335988998413,110,132,120.49523014339823
4.5,2,1,GoalBias,1,2.7914812564849854,70,148,105.97168413031979
4.5,1,9,Hybrid,1,17.880075216293335,717,401,244.61292817944363
4.5,2,1,RRT*,1,12.922313213348389,559,478,203.17856279136126
4.5,1,9,GoalBias,1,25.252710103988647,1188,720,225.56273200488098
4.5,2,2,GoalBias,1,1.9974799156188965,41,120,115.07355094014912
4.5,2,2,RRT*,1,9.53544306755066,401,410,160.4927443084618
4.5,2,1,Hybrid,1,14.438130140304565,511,327,189.68077978203652
4.5,2,3,Hybrid,1,1.6821680068969727,48,90,152.77585566903142
4.5,2,3,GoalBias,1,6.884941816329956,391,263,143.57477525467684
4.5,2,4,GoalBias,1,9.089093923568726,251,295,140.82201391005776
4.5,2,4,RRT*,1,14.92257809638977,612,516,172.21881615900796
4.5,2,3,RRT*,1,28.708734035491943,976,756,220.9283836579306
4.5,2,5,RRT*,1,10.2912757396698,505,382,144.86299137870057
4.5,2,4,Hybrid,1,13.095412015914917,381,324,124.01259154390407
4.5,2,5,GoalBias,1,6.908865213394165,393,276,211.50904651988867
4.5,2,5,Hybrid,1,11.378854990005493,472,371,198.56118698593664
4.5,2,6,GoalBias,1,6.866399049758911,373,285,190.83991015022121
4.5,2,6,RRT*,1,19.062201023101807,900,572,158.15038615847232
4.5,2,7,RRT*,1,13.290769100189209,586,433,236.01300802888701
4.5,2,7,Hybrid,1,3.079921245574951,139,148,137.39556311757022
4.5,2,7,GoalBias,1,8.014032125473022,274,327,149.5516028086501
4.5,2,8,RRT*,1,8.195196866989136,398,314,146.58876458420986
4.5,2,8,Hybrid,1,4.686100006103516,207,190,214.36127237449702
4.5,2,8,GoalBias,1,17.407227993011475,913,490,187.7419232683755
4.5,2,9,RRT*,1,7.798351764678955,391,322,206.8150953060971
4.5,2,9,GoalBias,1,7.575588226318359,481,295,121.64904079142431
4.5,2,9,Hybrid,1,6.947010040283203,152,179,134.70741393471994
